CODIGO_DISTRITAL,NOMBRE,COD,PADRE,,,,,,INSERT PROVINCIA
1,San José,P,0,"INSERT INTO `BASE_DATOS`.`PROVINCIA_CR` (codigo_provincia, nombre_provincia) VALUES(1,'San José');",,,,,"INSERT INTO `BASE_DATOS`.`PROVINCIA_CR` (codigo_provincia, nombre_provincia) VALUES"
10402,Mercedes Sur,D,104,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(104,10402,'Mercedes Sur');",,,,,
10403,Barbacoas,D,104,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(104,10403,'Barbacoas');",,,,,
10404,Grifo Alto,D,104,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(104,10404,'Grifo Alto');",,,,,
10405,San Rafael,D,104,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(104,10405,'San Rafael');",,,,,
10406,Candelaria,D,104,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(104,10406,'Candelaria');",,,,,
10407,Desamparaditos,D,104,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(104,10407,'Desamparaditos');",,,,,
10408,San Antonio,D,104,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(104,10408,'San Antonio');",,,,,
10409,Chires,D,104,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(104,10409,'Chires');",,,,,
105,Tarrazú,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,105,'Tarrazú');",,,,,
10501,San Marcos,D,105,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(105,10501,'San Marcos');",,,,,
10502,San Lorenzo,D,105,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(105,10502,'San Lorenzo');",,,,,
10503,San Carlos,D,105,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(105,10503,'San Carlos');",,,,,
106,Aserrí,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,106,'Aserrí');",,,,,
10601,Aserrí,D,106,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(106,10601,'Aserrí');",,,,,
10602,Tarbaca o Praga,D,106,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(106,10602,'Tarbaca o Praga');",,,,,
10603,Vuelta de Jorco,D,106,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(106,10603,'Vuelta de Jorco');",,,,,
10604,San Gabriel,D,106,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(106,10604,'San Gabriel');",,,,,
10605,La Legua,D,106,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(106,10605,'La Legua');",,,,,
10606,Monterrey,D,106,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(106,10606,'Monterrey');",,,,,
10607,Salitrillos,D,106,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(106,10607,'Salitrillos');",,,,,
107,Mora,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,107,'Mora');",,,,,
10701,Colón,D,107,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(107,10701,'Colón');",,,,,
10702,Guayabo,D,107,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(107,10702,'Guayabo');",,,,,
10703,Tabarcia,D,107,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(107,10703,'Tabarcia');",,,,,
10704,Piedras Negras,D,107,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(107,10704,'Piedras Negras');",,,,,
10705,Picagres,D,107,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(107,10705,'Picagres');",,,,,
108,Goicoechea,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,108,'Goicoechea');",,,,,
10801,Guadalupe,D,108,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(108,10801,'Guadalupe');",,,,,
10802,San Francisco,D,108,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(108,10802,'San Francisco');",,,,,
10803,Calle Blancos,D,108,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(108,10803,'Calle Blancos');",,,,,
10804,Mata de Plátano,D,108,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(108,10804,'Mata de Plátano');",,,,,
10805,Ipís,D,108,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(108,10805,'Ipís');",,,,,
10806,Rancho Redondo,D,108,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(108,10806,'Rancho Redondo');",,,,,
10807,Purral,D,108,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(108,10807,'Purral');",,,,,
109,Santa Ana,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,109,'Santa Ana');",,,,,
10901,Santa Ana,D,109,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(109,10901,'Santa Ana');",,,,,
10902,Salitral,D,109,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(109,10902,'Salitral');",,,,,
10903,Pozos o Concepción,D,109,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(109,10903,'Pozos o Concepción');",,,,,
10904,Uruca o San Joaquín,D,109,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(109,10904,'Uruca o San Joaquín');",,,,,
10905,Piedades,D,109,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(109,10905,'Piedades');",,,,,
